Business Id,Business Name,Address,By Appointment Only,Open On Weekend,Stars
vcNAWiLM4dR7D2nwwJ7nCA,Eric Goldberg, MD,4840 E Indian School Rd Ste 101 Phoenix AZ 85018,1,0,3.5,
e_U_FnpdKVgNb4mUN2cU_Q,Weinberg Lisa, DMD,2323 Greentree Rd Carnegie PA 15106,1,0,2.0,
xxWFOD46ubTSF3nPRM19BA,Emmert Dental Associates,1730 Settlers Ridge Center Dr Pittsburgh PA 15136,1,1,1.0,
2i6lkGef2_GMudi6SbRX2w,Shady Hill Chiropractic Clinic,235 Shady Ave Shadyside Pittsburgh PA 15206,0,1,4.0,
_4jd_mYZ8EmE7Hl7AOyWzA,Newman Chiropractic Center,527 Shady Ave Shadyside Pittsburgh PA 15206,1,0,4.0,
-iVcmhjfq79QoTWzrb6pKg,East End Food Co-Op,7516 Meade St Point Breeze Pittsburgh PA 15208,1,1,4.5,
bAnFMk-UoNjyVYUj0sJT0w,Block Harvey M DMD,7501 Penn Ave Point Breeze Pittsburgh PA 15208,1,0,5.0,
Wnn1GtvvtnkFdPfdRcYW-Q,Moonstones,2892 W Liberty Ave Dormont Pittsburgh PA 15216,0,1,4.5,
WD7TUnO7ExNJahLN4p3bMA,Edgewood Dental Associates,1789 S Braddock Ave Ste 110 Pittsburgh PA 15218,1,0,4.5,
gX96CYY9T3K-jiippnnXDA,America's Best Contacts & Eyeglasses,817 Liberty Ave Suite J Downtown Pittsburgh PA 15222,1,1,2.0,
AcD5G-u_GvLSnL4Vppq80A,The Midwife Center For Birth & Women's Health,2825 Penn Ave Strip District Pittsburgh PA 15222,1,0,5.0,
9b-YnpVt3P5Sk0_yUDaMGQ,Pittsburgh Chiropractic Associates,355 5th Ave Downtown Pittsburgh PA 15222,0,0,5.0,
TqkBwRmoEgECElxeY0OgKA,Healthquest Chiropractic,606 Liberty Ave Downtown Pittsburgh PA 15222,1,0,5.0,
l3N07ZNUCTgooKAoJcxQZQ,Bell Vision Care,4822 Liberty Ave Bloomfield Pittsburgh PA 15224,1,0,2.5,
